DNI,REG,PROM,NOTA
1A28105322,True,True,8
1A99099890,True,False,5
1A22204852,True,True,7
1A15512715,True,False,6
1A34329985,True,False,5
1A19927936,False,False,1
1A22593464,False,False,0
1A94225482,False,False,0
1A89354491,True,False,5
1A19259531,True,False,6
1A77275510,False,False,0
1A87661493,True,False,5
1A98594188,False,False,1
1A66734722,True,True,8
1A95893701,False,False,2
1A49787731,True,True,7
1A27592688,False,False,1
1A56002087,True,True,7
1A70559696,False,False,0
1A35899609,False,False,0
1A25379835,False,False,1
1A80614775,False,False,0
1A83333439,False,False,2
1A82123976,True,True,8
1A36699911,False,False,0
1A76785524,True,True,8
1A71719284,False,False,0
1A56816166,False,False,0
1A29289922,False,False,1
1A19821142,True,False,6
1A33561521,False,False,0
1A10666790,False,False,1
1A43186431,False,False,0
1A71616878,True,False,4
1A69170526,False,False,0
1A28953077,False,False,1
1A24592969,False,False,0
1A73873419,False,False,1
1A46373467,True,True,8
1A20442555,False,False,2
1A76488737,True,False,5
1A16515636,True,True,7
1A98429217,True,False,5
1A67689120,True,False,4
1A96168629,True,True,8
1A79164963,True,True,8
1A47362714,False,False,0
1A35923943,True,True,8
1A25959301,True,True,7
1A80175507,False,False,0
1A18457584,False,False,0
1A20118731,True,False,4
1A86137791,True,True,7
1A32533543,True,False,6
1A28599309,False,False,0
1A49990256,False,False,0
1A41706346,True,True,8
1A49051801,False,False,0
1A75159571,False,False,0
1A22853420,True,True,8
1A88650380,False,False,1
1A14409561,True,True,7
1A27504238,True,True,8
1A12724596,False,False,0
1A11505543,True,False,5
1A51903582,True,False,5
1A10235268,True,True,9
1A63618862,True,True,7
